Year,Female Life Expectancy,Male Life Expectancy,Sex Gap,Best Practice Life Expectancy,Best Practice Gap
2021,29.92,26.98,2.94,29.69,-0.23
2022,30.03,27.12,2.91,29.8,-0.23
2023,30.14,27.3,2.84,29.91,-0.23
2024,30.25,27.47,2.78,30.02,-0.23
2025,30.36,27.64,2.71,30.13,-0.23
2026,30.46,27.81,2.65,30.23,-0.23
2027,30.57,27.99,2.58,30.34,-0.23
2028,30.68,28.16,2.52,30.45,-0.23
2029,30.79,28.33,2.45,30.56,-0.23
2030,30.89,28.5,2.39,30.66,-0.23
2031,31,28.67,2.33,30.77,-0.23
2032,31.11,28.84,2.27,30.88,-0.23
2033,31.22,28.99,2.22,30.99,-0.23
2034,31.33,29.16,2.17,31.1,-0.23
2035,31.43,29.31,2.12,31.2,-0.23
2036,31.54,29.46,2.08,31.31,-0.23
2037,31.65,29.6,2.05,31.42,-0.23
2038,31.76,29.74,2.01,31.53,-0.23
2039,31.86,29.87,2,31.63,-0.23
2040,31.97,29.99,1.98,31.74,-0.23
2041,32.08,30.1,1.98,31.85,-0.23
2042,32.19,30.21,1.97,31.96,-0.23
2043,32.3,30.32,1.97,32.07,-0.23
2044,32.4,30.43,1.97,32.17,-0.23
2045,32.51,30.54,1.97,32.28,-0.23
2046,32.62,30.65,1.97,32.39,-0.23
2047,32.73,30.75,1.97,32.5,-0.23
2048,32.83,30.86,1.97,32.6,-0.23
2049,32.94,30.97,1.97,32.71,-0.23
2050,33.05,31.08,1.97,32.82,-0.23
