country,Year,Age,ex
JPN,1947,0,53.67
JPN,1947,1,57.26
JPN,1947,2,58.32
JPN,1947,3,58.33
JPN,1947,4,57.98
JPN,1947,5,57.39
JPN,1947,6,56.66
JPN,1947,7,55.87
JPN,1947,8,55.03
JPN,1947,9,54.15
JPN,1947,10,53.26
JPN,1947,11,52.35
JPN,1947,12,51.44
JPN,1947,13,50.54
JPN,1947,14,49.63
JPN,1947,15,48.75
JPN,1947,16,47.9
JPN,1947,17,47.08
JPN,1947,18,46.29
JPN,1947,19,45.53
JPN,1947,20,44.81
JPN,1947,21,44.12
JPN,1947,22,43.44
JPN,1947,23,42.76
JPN,1947,24,42.09
JPN,1947,25,41.42
JPN,1947,26,40.73
JPN,1947,27,40.03
JPN,1947,28,39.31
JPN,1947,29,38.6
JPN,1947,30,37.88
JPN,1947,31,37.15
JPN,1947,32,36.41
JPN,1947,33,35.66
JPN,1947,34,34.91
JPN,1947,35,34.15
JPN,1947,36,33.39
JPN,1947,37,32.62
JPN,1947,38,31.85
JPN,1947,39,31.07
JPN,1947,40,30.31
JPN,1947,41,29.52
JPN,1947,42,28.75
JPN,1947,43,27.99
JPN,1947,44,27.21
JPN,1947,45,26.42
JPN,1947,46,25.64
JPN,1947,47,24.85
JPN,1947,48,24.08
JPN,1947,49,23.3
JPN,1947,50,22.54
JPN,1947,51,21.79
JPN,1947,52,21.04
JPN,1947,53,20.3
JPN,1947,54,19.56
JPN,1947,55,18.83
JPN,1947,56,18.09
JPN,1947,57,17.37
JPN,1947,58,16.65
JPN,1947,59,15.96
JPN,1947,60,15.27
JPN,1947,61,14.62
JPN,1947,62,13.96
JPN,1947,63,13.33
JPN,1947,64,12.71
JPN,1947,65,12.1
JPN,1947,66,11.5
JPN,1947,67,10.92
JPN,1947,68,10.34
JPN,1947,69,9.8
JPN,1947,70,9.26
JPN,1947,71,8.76
JPN,1947,72,8.28
JPN,1947,73,7.79
JPN,1947,74,7.33
JPN,1947,75,6.89
JPN,1947,76,6.46
JPN,1947,77,6.04
JPN,1947,78,5.66
JPN,1947,79,5.31
JPN,1947,80,5
JPN,1947,81,4.7
JPN,1947,82,4.4
JPN,1947,83,4.13
JPN,1947,84,3.94
JPN,1947,85,3.67
JPN,1947,86,3.43
JPN,1947,87,3.21
JPN,1947,88,3
JPN,1947,89,2.8
JPN,1947,90,2.64
JPN,1947,91,2.52
JPN,1947,92,2.37
JPN,1947,93,2.26
