country,Year,Age,ex
JPN,1947,0,49.81
JPN,1947,1,53.68
JPN,1947,2,54.69
JPN,1947,3,54.63
JPN,1947,4,54.25
JPN,1947,5,53.65
JPN,1947,6,52.92
JPN,1947,7,52.13
JPN,1947,8,51.3
JPN,1947,9,50.43
JPN,1947,10,49.54
JPN,1947,11,48.64
JPN,1947,12,47.72
JPN,1947,13,46.8
JPN,1947,14,45.89
JPN,1947,15,44.98
JPN,1947,16,44.1
JPN,1947,17,43.24
JPN,1947,18,42.42
JPN,1947,19,41.65
JPN,1947,20,40.93
JPN,1947,21,40.24
JPN,1947,22,39.57
JPN,1947,23,38.92
JPN,1947,24,38.27
JPN,1947,25,37.62
JPN,1947,26,36.96
JPN,1947,27,36.29
JPN,1947,28,35.6
JPN,1947,29,34.89
JPN,1947,30,34.18
JPN,1947,31,33.46
JPN,1947,32,32.72
JPN,1947,33,32
JPN,1947,34,31.27
JPN,1947,35,30.52
JPN,1947,36,29.78
JPN,1947,37,29.03
JPN,1947,38,28.28
JPN,1947,39,27.52
JPN,1947,40,26.76
JPN,1947,41,26
JPN,1947,42,25.24
JPN,1947,43,24.48
JPN,1947,44,23.73
JPN,1947,45,22.98
JPN,1947,46,22.23
JPN,1947,47,21.49
JPN,1947,48,20.75
JPN,1947,49,20.01
JPN,1947,50,19.29
JPN,1947,51,18.57
JPN,1947,52,17.87
JPN,1947,53,17.17
JPN,1947,54,16.49
JPN,1947,55,15.82
JPN,1947,56,15.15
JPN,1947,57,14.49
JPN,1947,58,13.87
JPN,1947,59,13.27
JPN,1947,60,12.65
JPN,1947,61,12.1
JPN,1947,62,11.53
JPN,1947,63,10.99
JPN,1947,64,10.47
JPN,1947,65,9.97
JPN,1947,66,9.49
JPN,1947,67,9.02
JPN,1947,68,8.56
JPN,1947,69,8.13
JPN,1947,70,7.7
JPN,1947,71,7.31
JPN,1947,72,6.91
JPN,1947,73,6.53
JPN,1947,74,6.17
JPN,1947,75,5.8
JPN,1947,76,5.47
JPN,1947,77,5.11
JPN,1947,78,4.8
JPN,1947,79,4.54
JPN,1947,80,4.3
JPN,1947,81,4.03
JPN,1947,82,3.81
JPN,1947,83,3.59
JPN,1947,84,3.41
JPN,1947,85,3.17
JPN,1947,86,2.99
JPN,1947,87,2.84
JPN,1947,88,2.71
JPN,1947,89,2.55
JPN,1947,90,2.4
JPN,1947,91,2.22
JPN,1947,92,2.14
JPN,1947,93,2.05
JPN,1947,94,1.96
JPN,1947,95,1.87
JPN,1947,96,1.79
JPN,1947,97,1.72
JPN,1947,98,1.66
JPN,1947,99,1.59
JPN,1947,100,1.54
JPN,1947,101,1.49
JPN,1947,102,1.44
JPN,1947,103,1.4
JPN,1947,104,1.36
JPN,1947,105,1.33
JPN,1947,106,1.3
JPN,1947,107,1.27
JPN,1947,108,1.25
JPN,1947,109,1.23
JPN,1947,110+,1.21
JPN,1948,0,55.03
JPN,1948,1,57.87
JPN,1948,2,58
JPN,1948,3,57.6
JPN,1948,4,57.02
JPN,1948,5,56.3
JPN,1948,6,55.5
JPN,1948,7,54.66
JPN,1948,8,53.8
JPN,1948,9,52.91
JPN,1948,10,52
JPN,1948,11,51.09
JPN,1948,12,50.16
JPN,1948,13,49.23
JPN,1948,14,48.3
JPN,1948,15,47.38
JPN,1948,16,46.48
JPN,1948,17,45.6
JPN,1948,18,44.75
JPN,1948,19,43.94
JPN,1948,20,43.18
JPN,1948,21,42.45
JPN,1948,22,41.74
JPN,1948,23,41.05
JPN,1948,24,40.37
JPN,1948,25,39.7
JPN,1948,26,39.02
JPN,1948,27,38.32
JPN,1948,28,37.62
JPN,1948,29,36.9
JPN,1948,30,36.18
JPN,1948,31,35.44
JPN,1948,32,34.7
JPN,1948,33,33.94
JPN,1948,34,33.19
JPN,1948,35,32.43
JPN,1948,36,31.66
JPN,1948,37,30.89
JPN,1948,38,30.11
JPN,1948,39,29.34
JPN,1948,40,28.56
JPN,1948,41,27.79
JPN,1948,42,27.01
JPN,1948,43,26.24
JPN,1948,44,25.47
JPN,1948,45,24.7
JPN,1948,46,23.94
JPN,1948,47,23.17
JPN,1948,48,22.41
JPN,1948,49,21.65
JPN,1948,50,20.91
JPN,1948,51,20.19
JPN,1948,52,19.46
JPN,1948,53,18.75
JPN,1948,54,18.05
JPN,1948,55,17.37
JPN,1948,56,16.69
JPN,1948,57,16.01
JPN,1948,58,15.35
JPN,1948,59,14.73
JPN,1948,60,14.12
JPN,1948,61,13.51
JPN,1948,62,12.93
JPN,1948,63,12.36
JPN,1948,64,11.81
JPN,1948,65,11.28
JPN,1948,66,10.77
JPN,1948,67,10.26
JPN,1948,68,9.78
JPN,1948,69,9.31
JPN,1948,70,8.87
JPN,1948,71,8.42
JPN,1948,72,8
JPN,1948,73,7.6
JPN,1948,74,7.19
JPN,1948,75,6.83
JPN,1948,76,6.44
JPN,1948,77,6.06
JPN,1948,78,5.71
JPN,1948,79,5.39
JPN,1948,80,5.09
JPN,1948,81,4.82
JPN,1948,82,4.56
JPN,1948,83,4.29
JPN,1948,84,4.06
JPN,1948,85,3.83
JPN,1948,86,3.59
JPN,1948,87,3.43
JPN,1948,88,3.24
JPN,1948,89,3.03
JPN,1948,90,2.93
JPN,1948,91,2.8
JPN,1948,92,2.7
JPN,1948,93,2.58
JPN,1948,94,2.41
JPN,1948,95,2.3
JPN,1948,96,2.2
JPN,1948,97,2.1
JPN,1948,98,2.01
JPN,1948,99,1.93
JPN,1948,100,1.86
JPN,1948,101,1.79
JPN,1948,102,1.72
JPN,1948,103,1.66
JPN,1948,104,1.61
JPN,1948,105,1.56
JPN,1948,106,1.51
JPN,1948,107,1.47
JPN,1948,108,1.44
JPN,1948,109,1.41
JPN,1948,110+,1.39
JPN,1949,0,55.97
JPN,1949,1,58.93
JPN,1949,2,59.01
JPN,1949,3,58.67
JPN,1949,4,58.11
JPN,1949,5,57.4
JPN,1949,6,56.61
JPN,1949,7,55.76
JPN,1949,8,54.88
JPN,1949,9,53.98
JPN,1949,10,53.06
JPN,1949,11,52.13
JPN,1949,12,51.2
JPN,1949,13,50.26
JPN,1949,14,49.32
JPN,1949,15,48.39
JPN,1949,16,47.47
JPN,1949,17,46.58
JPN,1949,18,45.71
JPN,1949,19,44.87
JPN,1949,20,44.07
JPN,1949,21,43.3
JPN,1949,22,42.54
JPN,1949,23,41.82
JPN,1949,24,41.1
JPN,1949,25,40.39
JPN,1949,26,39.68
JPN,1949,27,38.95
JPN,1949,28,38.22
JPN,1949,29,37.47
JPN,1949,30,36.72
JPN,1949,31,35.96
JPN,1949,32,35.19
JPN,1949,33,34.41
JPN,1949,34,33.62
JPN,1949,35,32.84
JPN,1949,36,32.06
JPN,1949,37,31.27
JPN,1949,38,30.48
JPN,1949,39,29.69
JPN,1949,40,28.9
JPN,1949,41,28.1
JPN,1949,42,27.32
JPN,1949,43,26.52
JPN,1949,44,25.74
JPN,1949,45,24.96
JPN,1949,46,24.18
JPN,1949,47,23.41
JPN,1949,48,22.65
JPN,1949,49,21.88
JPN,1949,50,21.12
JPN,1949,51,20.37
JPN,1949,52,19.65
JPN,1949,53,18.91
JPN,1949,54,18.19
JPN,1949,55,17.49
JPN,1949,56,16.8
JPN,1949,57,16.12
JPN,1949,58,15.45
JPN,1949,59,14.8
JPN,1949,60,14.17
JPN,1949,61,13.55
JPN,1949,62,12.94
JPN,1949,63,12.37
JPN,1949,64,11.81
JPN,1949,65,11.27
JPN,1949,66,10.73
JPN,1949,67,10.23
JPN,1949,68,9.74
JPN,1949,69,9.28
JPN,1949,70,8.81
JPN,1949,71,8.36
JPN,1949,72,7.93
JPN,1949,73,7.52
JPN,1949,74,7.12
JPN,1949,75,6.74
JPN,1949,76,6.38
JPN,1949,77,6.01
JPN,1949,78,5.65
JPN,1949,79,5.28
JPN,1949,80,4.97
JPN,1949,81,4.67
JPN,1949,82,4.42
JPN,1949,83,4.13
JPN,1949,84,3.89
JPN,1949,85,3.64
JPN,1949,86,3.44
JPN,1949,87,3.22
JPN,1949,88,3.01
JPN,1949,89,2.86
JPN,1949,90,2.71
JPN,1949,91,2.6
JPN,1949,92,2.51
JPN,1949,93,2.33
JPN,1949,94,2.21
JPN,1949,95,2.11
JPN,1949,96,2.01
JPN,1949,97,1.92
JPN,1949,98,1.84
JPN,1949,99,1.76
JPN,1949,100,1.69
JPN,1949,101,1.63
JPN,1949,102,1.57
