country,Year,Age,ex
GBRTENW,1922,0,92.888629
GBRTENW,1922,1,91.958682
GBRTENW,1922,2,90.983658
GBRTENW,1922,3,89.995801
GBRTENW,1922,4,89.001873
GBRTENW,1922,5,88.006299
GBRTENW,1922,6,87.01016
GBRTENW,1922,7,86.013118
GBRTENW,1922,8,85.015543
GBRTENW,1922,9,84.017495
GBRTENW,1922,10,83.019322
GBRTENW,1922,11,82.021124
GBRTENW,1922,12,81.022772
GBRTENW,1922,13,80.024594
GBRTENW,1922,14,79.026529
GBRTENW,1922,15,78.028651
GBRTENW,1922,16,77.030961
GBRTENW,1922,17,76.03352
GBRTENW,1922,18,75.036146
GBRTENW,1922,19,74.038958
GBRTENW,1922,20,73.041967
GBRTENW,1922,21,72.045216
GBRTENW,1922,22,71.048515
GBRTENW,1922,23,70.051853
GBRTENW,1922,24,69.055209
GBRTENW,1922,25,68.058787
GBRTENW,1922,26,67.06238
GBRTENW,1922,27,66.065989
GBRTENW,1922,28,65.069853
GBRTENW,1922,29,64.073843
GBRTENW,1922,30,63.077807
GBRTENW,1922,31,62.081912
GBRTENW,1922,32,61.085996
GBRTENW,1922,33,60.090316
GBRTENW,1922,34,59.094839
GBRTENW,1922,35,58.099475
GBRTENW,1922,36,57.104252
GBRTENW,1922,37,56.109177
GBRTENW,1922,38,55.114186
GBRTENW,1922,39,54.119759
GBRTENW,1922,40,53.125181
GBRTENW,1922,41,52.130608
GBRTENW,1922,42,51.136231
GBRTENW,1922,43,50.142791
GBRTENW,1922,44,49.149161
GBRTENW,1922,45,48.155594
GBRTENW,1922,46,47.162514
GBRTENW,1922,47,46.16985
GBRTENW,1922,48,45.177632
GBRTENW,1922,49,44.186304
GBRTENW,1922,50,43.195561
GBRTENW,1922,51,42.205395
GBRTENW,1922,52,41.215313
GBRTENW,1922,53,40.227462
GBRTENW,1922,54,39.240046
GBRTENW,1922,55,38.253606
GBRTENW,1922,56,37.2665
GBRTENW,1922,57,36.281615
GBRTENW,1922,58,35.297669
GBRTENW,1922,59,34.315926
GBRTENW,1922,60,33.334876
GBRTENW,1922,61,32.355186
GBRTENW,1922,62,31.375875
GBRTENW,1922,63,30.40232
GBRTENW,1922,64,29.430287
GBRTENW,1922,65,28.461169
GBRTENW,1922,66,27.49476
GBRTENW,1922,67,26.527095
GBRTENW,1922,68,25.564907
GBRTENW,1922,69,24.608297
GBRTENW,1922,70,23.655052
GBRTENW,1922,71,22.70619
GBRTENW,1922,72,21.759915
GBRTENW,1922,73,20.828004
GBRTENW,1922,74,19.901656
GBRTENW,1922,75,18.979102
GBRTENW,1922,76,18.066877
GBRTENW,1922,77,17.160118
GBRTENW,1922,78,16.260931
GBRTENW,1922,79,15.372388
GBRTENW,1922,80,14.493069
GBRTENW,1922,81,13.61926
GBRTENW,1922,82,12.757311
GBRTENW,1922,83,11.917226
GBRTENW,1922,84,11.08259
GBRTENW,1922,85,10.282215
GBRTENW,1922,86,9.484964
GBRTENW,1922,87,8.7097
GBRTENW,1922,88,7.949147
GBRTENW,1922,89,7.200008
GBRTENW,1922,90,6.47131
GBRTENW,1922,91,5.760593
GBRTENW,1922,92,5.056315
GBRTENW,1922,93,4.367974
GBRTENW,1922,94,3.702614
GBRTENW,1922,95,3.090848
GBRTENW,1922,96,2.47977
GBRTENW,1922,97,1.932714
GBRTENW,1922,98,1.437667
GBRTENW,1922,99,1.02769
GBRTENW,1922,100,0.574524
GBRTENW,1923,0,93.647666
GBRTENW,1923,1,92.710949
GBRTENW,1923,2,91.730114
GBRTENW,1923,3,90.737935
GBRTENW,1923,4,89.743147
GBRTENW,1923,5,88.74654
GBRTENW,1923,6,87.749579
GBRTENW,1923,7,86.752202
GBRTENW,1923,8,85.75431
GBRTENW,1923,9,84.756122
GBRTENW,1923,10,83.75788
GBRTENW,1923,11,82.759452
GBRTENW,1923,12,81.760912
GBRTENW,1923,13,80.76243
GBRTENW,1923,14,79.764239
GBRTENW,1923,15,78.766227
GBRTENW,1923,16,77.768368
GBRTENW,1923,17,76.770801
GBRTENW,1923,18,75.773327
GBRTENW,1923,19,74.776054
GBRTENW,1923,20,73.778941
GBRTENW,1923,21,72.781851
GBRTENW,1923,22,71.784885
GBRTENW,1923,23,70.788047
GBRTENW,1923,24,69.791049
GBRTENW,1923,25,68.79426
GBRTENW,1923,26,67.797536
GBRTENW,1923,27,66.800846
GBRTENW,1923,28,65.804303
GBRTENW,1923,29,64.807902
GBRTENW,1923,30,63.811399
GBRTENW,1923,31,62.814988
GBRTENW,1923,32,61.818571
GBRTENW,1923,33,60.822429
GBRTENW,1923,34,59.826284
GBRTENW,1923,35,58.830212
GBRTENW,1923,36,57.834317
GBRTENW,1923,37,56.83856
GBRTENW,1923,38,55.842971
GBRTENW,1923,39,54.847811
GBRTENW,1923,40,53.852785
GBRTENW,1923,41,52.857914
GBRTENW,1923,42,51.862951
GBRTENW,1923,43,50.868558
GBRTENW,1923,44,49.874206
GBRTENW,1923,45,48.880307
GBRTENW,1923,46,47.886803
GBRTENW,1923,47,46.893597
GBRTENW,1923,48,45.900895
GBRTENW,1923,49,44.909053
GBRTENW,1923,50,43.917355
GBRTENW,1923,51,42.925984
GBRTENW,1923,52,41.934604
GBRTENW,1923,53,40.944891
GBRTENW,1923,54,39.956625
GBRTENW,1923,55,38.969433
GBRTENW,1923,56,37.981091
GBRTENW,1923,57,36.995096
GBRTENW,1923,58,36.009744
GBRTENW,1923,59,35.026383
GBRTENW,1923,60,34.044664
GBRTENW,1923,61,33.063273
GBRTENW,1923,62,32.082272
GBRTENW,1923,63,31.105384
GBRTENW,1923,64,30.1325
GBRTENW,1923,65,29.160606
GBRTENW,1923,66,28.19124
GBRTENW,1923,67,27.221139
GBRTENW,1923,68,26.254719
GBRTENW,1923,69,25.294315
GBRTENW,1923,70,24.337772
GBRTENW,1923,71,23.384502
GBRTENW,1923,72,22.433677
GBRTENW,1923,73,21.494128
GBRTENW,1923,74,20.561252
GBRTENW,1923,75,19.632201
GBRTENW,1923,76,18.709028
GBRTENW,1923,77,17.794103
GBRTENW,1923,78,16.882832
GBRTENW,1923,79,15.983977
GBRTENW,1923,80,15.091713
GBRTENW,1923,81,14.208806
GBRTENW,1923,82,13.330937
GBRTENW,1923,83,12.478389
GBRTENW,1923,84,11.637173
GBRTENW,1923,85,10.811027
GBRTENW,1923,86,9.995592
GBRTENW,1923,87,9.198587
GBRTENW,1923,88,8.413294
GBRTENW,1923,89,7.650468
GBRTENW,1923,90,6.912956
GBRTENW,1923,91,6.181535
GBRTENW,1923,92,5.416733
GBRTENW,1923,93,4.719266
GBRTENW,1923,94,4.047272
GBRTENW,1923,95,3.37621
GBRTENW,1923,96,2.70921
GBRTENW,1923,97,2.064611
GBRTENW,1923,98,1.49834
GBRTENW,1923,99,0.965802
GBRTENW,1923,100,0.407941
GBRTENW,1924,0,93.221955
GBRTENW,1924,1,92.291368
GBRTENW,1924,2,91.313501
GBRTENW,1924,3,90.322666
GBRTENW,1924,4,89.328198
GBRTENW,1924,5,88.332347
GBRTENW,1924,6,87.335537
GBRTENW,1924,7,86.338113
GBRTENW,1924,8,85.340276
GBRTENW,1924,9,84.34207
GBRTENW,1924,10,83.343673
GBRTENW,1924,11,82.345205
GBRTENW,1924,12,81.346761
GBRTENW,1924,13,80.348391
GBRTENW,1924,14,79.350104
GBRTENW,1924,15,78.352158
GBRTENW,1924,16,77.354318
GBRTENW,1924,17,76.356746
GBRTENW,1924,18,75.359464
GBRTENW,1924,19,74.362184
GBRTENW,1924,20,73.365003
GBRTENW,1924,21,72.36788
GBRTENW,1924,22,71.370965
GBRTENW,1924,23,70.374226
GBRTENW,1924,24,69.377537
GBRTENW,1924,25,68.380863
GBRTENW,1924,26,67.384227
GBRTENW,1924,27,66.387636
GBRTENW,1924,28,65.391288
GBRTENW,1924,29,64.394864
GBRTENW,1924,30,63.398432
GBRTENW,1924,31,62.402392
GBRTENW,1924,32,61.406184
GBRTENW,1924,33,60.409871
GBRTENW,1924,34,59.413676
GBRTENW,1924,35,58.417826
GBRTENW,1924,36,57.422073
GBRTENW,1924,37,56.426671
GBRTENW,1924,38,55.431313
GBRTENW,1924,39,54.436033
GBRTENW,1924,40,53.441226
GBRTENW,1924,41,52.446624
GBRTENW,1924,42,51.451857
GBRTENW,1924,43,50.457604
GBRTENW,1924,44,49.463437
GBRTENW,1924,45,48.469879
GBRTENW,1924,46,47.47635
GBRTENW,1924,47,46.483274
GBRTENW,1924,48,45.490947
GBRTENW,1924,49,44.499029
GBRTENW,1924,50,43.507866
GBRTENW,1924,51,42.517632
GBRTENW,1924,52,41.527019
GBRTENW,1924,53,40.537513
GBRTENW,1924,54,39.548528
GBRTENW,1924,55,38.561496
GBRTENW,1924,56,37.574207
GBRTENW,1924,57,36.58932
GBRTENW,1924,58,35.604204
GBRTENW,1924,59,34.621297
GBRTENW,1924,60,33.639509
GBRTENW,1924,61,32.660302
GBRTENW,1924,62,31.680361
GBRTENW,1924,63,30.70401
GBRTENW,1924,64,29.73012
GBRTENW,1924,65,28.76004
GBRTENW,1924,66,27.792824
GBRTENW,1924,67,26.825552
GBRTENW,1924,68,25.860379
GBRTENW,1924,69,24.901335
GBRTENW,1924,70,23.947113
GBRTENW,1924,71,22.9991
GBRTENW,1924,72,22.051357
GBRTENW,1924,73,21.114007
GBRTENW,1924,74,20.184444
GBRTENW,1924,75,19.263431
GBRTENW,1924,76,18.350519
GBRTENW,1924,77,17.441974
GBRTENW,1924,78,16.538888
GBRTENW,1924,79,15.648008
GBRTENW,1924,80,14.763699
GBRTENW,1924,81,13.891768
GBRTENW,1924,82,13.020935
GBRTENW,1924,83,12.170287
GBRTENW,1924,84,11.336266
GBRTENW,1924,85,10.525137
GBRTENW,1924,86,9.719578
GBRTENW,1924,87,8.931836
GBRTENW,1924,88,8.161596
GBRTENW,1924,89,7.394228
GBRTENW,1924,90,6.664848
GBRTENW,1924,91,5.963463
GBRTENW,1924,92,5.261894
GBRTENW,1924,93,4.568924
GBRTENW,1924,94,3.905266
GBRTENW,1924,95,3.298262
GBRTENW,1924,96,2.675054
GBRTENW,1924,97,2.092546
GBRTENW,1924,98,1.532677
GBRTENW,1924,99,0.988621
GBRTENW,1924,100,0.480505
GBRTENW,1925,0,92.893104
GBRTENW,1925,1,91.962746
GBRTENW,1925,2,90.98398
GBRTENW,1925,3,89.99278
GBRTENW,1925,4,88.998364
GBRTENW,1925,5,88.002329
GBRTENW,1925,6,87.006109
GBRTENW,1925,7,86.008481
GBRTENW,1925,8,85.010616
GBRTENW,1925,9,84.012475
GBRTENW,1925,10,83.014182
GBRTENW,1925,11,82.015815
GBRTENW,1925,12,81.017298
GBRTENW,1925,13,80.018971
GBRTENW,1925,14,79.020664
GBRTENW,1925,15,78.02274
GBRTENW,1925,16,77.025027
GBRTENW,1925,17,76.027419
GBRTENW,1925,18,75.030107
GBRTENW,1925,19,74.03283
GBRTENW,1925,20,73.0357
GBRTENW,1925,21,72.038674
GBRTENW,1925,22,71.041711
GBRTENW,1925,23,70.044849
GBRTENW,1925,24,69.048105
GBRTENW,1925,25,68.051446
GBRTENW,1925,26,67.054867
GBRTENW,1925,27,66.058363
GBRTENW,1925,28,65.061849
GBRTENW,1925,29,64.065445
GBRTENW,1925,30,63.068829
GBRTENW,1925,31,62.072472
GBRTENW,1925,32,61.075853
GBRTENW,1925,33,60.079865
GBRTENW,1925,34,59.083442
GBRTENW,1925,35,58.087301
GBRTENW,1925,36,57.091372
GBRTENW,1925,37,56.095555
GBRTENW,1925,38,55.099975
GBRTENW,1925,39,54.104761
GBRTENW,1925,40,53.109814
GBRTENW,1925,41,52.114798
GBRTENW,1925,42,51.119694
GBRTENW,1925,43,50.125331
GBRTENW,1925,44,49.130923
GBRTENW,1925,45,48.136711
GBRTENW,1925,46,47.143376
GBRTENW,1925,47,46.15009
GBRTENW,1925,48,45.157184
GBRTENW,1925,49,44.165403
GBRTENW,1925,50,43.17417
GBRTENW,1925,51,42.183475
GBRTENW,1925,52,41.19283
GBRTENW,1925,53,40.203337
GBRTENW,1925,54,39.214213
GBRTENW,1925,55,38.226607
GBRTENW,1925,56,37.239298
GBRTENW,1925,57,36.25374
GBRTENW,1925,58,35.268925
GBRTENW,1925,59,34.284909
GBRTENW,1925,60,33.302351
GBRTENW,1925,61,32.321853
GBRTENW,1925,62,31.340963
GBRTENW,1925,63,30.364194
GBRTENW,1925,64,29.38827
GBRTENW,1925,65,28.415778
GBRTENW,1925,66,27.448455
GBRTENW,1925,67,26.479361
GBRTENW,1925,68,25.513535
GBRTENW,1925,69,24.553698
GBRTENW,1925,70,23.596392
GBRTENW,1925,71,22.645559
GBRTENW,1925,72,21.697092
GBRTENW,1925,73,20.757724
GBRTENW,1925,74,19.82312
GBRTENW,1925,75,18.897999
GBRTENW,1925,76,17.98309
GBRTENW,1925,77,17.075261
GBRTENW,1925,78,16.170737
GBRTENW,1925,79,15.275978
GBRTENW,1925,80,14.386256
GBRTENW,1925,81,13.513469
GBRTENW,1925,82,12.642396
GBRTENW,1925,83,11.790558
GBRTENW,1925,84,10.955024
GBRTENW,1925,85,10.141576
GBRTENW,1925,86,9.338573
GBRTENW,1925,87,8.556146
GBRTENW,1925,88,7.793503
GBRTENW,1925,89,7.045278
GBRTENW,1925,90,6.313568
GBRTENW,1925,91,5.607442
GBRTENW,1925,92,4.892499
GBRTENW,1925,93,4.224008
GBRTENW,1925,94,3.572291
GBRTENW,1925,95,2.941331
GBRTENW,1925,96,2.375492
GBRTENW,1925,97,1.791467
GBRTENW,1925,98,1.286097
GBRTENW,1925,99,0.774024
GBRTENW,1925,100,0.389532
GBRTENW,1926,0,93.695201
GBRTENW,1926,1,92.760262
GBRTENW,1926,2,91.778496
GBRTENW,1926,3,90.785818
GBRTENW,1926,4,89.790605
GBRTENW,1926,5,88.794145
GBRTENW,1926,6,87.797305
